page,y0,x0,text,font_size,bold,alignment,is_dateish
1,340.52,256.55,Pillar3andLiquidityDisclosures,16.0,True,left,False
1,379.23,401.18,31March2025,16.0,False,right,True
3,81.01,41.08,PART A: PILLAR 3DISCLOSURES,8.97,True,left,False
3,106.67,41.31,1 INTRODUCTION,8.97,True,left,False
3,353.27,40.61,2 SCOPEOFCONSOLIDATION,8.97,True,left,False
4,81.89,41.15,3 OVERVIEW OFKEY PRUDENTIALREGULATORY METRICS,8.97,True,left,False
5,82.11,41.04,4 LEVERAGE RATIO,8.97,True,left,False
7,80.6,40.68,5 OVERVIEW OFRISK-WEIGHTED ASSETS,8.97,True,left,False
7,105.95,40.82,5.1 Overview of RWA,8.97,True,left,False
8,82.03,40.98,5.2 Comparisonof ModelledandStandardisedRWAat RiskLevel,8.97,True,left,False
9,81.96,40.87,6 CREDIT RISK,8.97,True,left,False
9,106.55,40.46,6.1 IRBA- RWAFlow Statement for Credit RiskExposures,8.97,True,left,False
9,109.61,43.07,6.1IRBA-RWAFlowStatementforCreditRiskExposures,9.0,True,left,False
9,379.44,40.48,"7 COUNTERPARTY CREDIT RISK (""CCR"")",8.97,True,left,False
9,401.06,40.77,7.1 RWAFlow Statementsunder theCCR Internal ModelsMethod,8.97,True,left,False
9,467.28,40.97,8 MARKET RISK,8.97,True,left,False
9,489.08,40.52,8.1 RWAFlow Statementsof Market RiskExposuresunder IMA,8.97,True,left,False
9,565.81,40.62,9 CREDIT VALUATION ADJUSTMENT RISK,8.97,True,left,False
9,587.98,40.57,9.1 RWAFlow Statementsof CVARiskExposuresunder SA-CVA,8.97,True,left,False
10,80.78,41.08,PART B: LIQUIDITY COVERAGERATIO (“LCR”) DISCLOSURES,8.97,True,left,False
11,80.6,41.04,1.1 AverageAll-CurrencyLCR for theQuarter ended31Mar 2025 (Number of datapoints: 90),8.97,True,left,False
11,83.58,43.07,1.1AverageAll-CurrencyLCRfortheQuarterended31Mar2025,9.0,True,left,False
12,80.58,41.31,1.2 Average SGD LCR for the Quarter ended 31 Mar 2025 (Number of data points: 90),8.97,True,left,True
12,83.58,43.07,1.2AverageSGDLCRfortheQuarterended31Mar2025,9.0,True,left,False
13,81.96,41.54,1.3 LiquidityCoverageRatio,8.97,True,left,False
13,255.54,50.77,a) Compositionof HighQualityLiquidAssets(“HQLA”),8.97,True,left,False
13,394.58,50.9,b) Concentrationof FundingSources,8.97,True,left,False
13,488.48,50.63,c) DerivativeExposuresandPotential Collateral Calls,8.97,True,left,False
14,82.19,41.85,1.3 LiquidityCoverageRatio(continued),8.97,True,left,False
14,106.36,51.67,d) CurrencyMismatch,8.97,True,center,False
14,200.29,50.94,e) Centralizationof LiquidityManagement,8.97,True,left,False
